Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_536.jpg;-15;0;0;0;99.67;85.58897;0.0002623648;3.043396;1.905728E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_605.jpg;-15;0;0;0;99.67;85.58897;0.0002685423;359.4434;1.454546E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_662.jpg;-15;0;0;0;99.67;85.58897;0.0002707068;357.6433;1.281267E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_718.jpg;-15;0;0;0;99.67;85.58897;0.0002739691;354.9433;1.036032E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_769.jpg;-15;0;0;0;99.67;85.58897;0.0002772149;352.2432;7.103467E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_823.jpg;-15;0;0;0;99.67;85.58897;0.0002807715;349.5432;4.853219E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_877.jpg;-15;0;0;0;99.67;85.58897;0.0002825559;347.7433;3.62149E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_932.jpg;-15;0;0;0;99.67;85.58897;0.0002859908;345.0432;1.821929E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_987.jpg;-15;0;0;0;99.67;85.58897;0.0002897966;342.3432;-3.528382E-07
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_054.jpg;-15;0;0;0;99.67;85.58897;0.0002931451;339.6432;-1.316434E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_120.jpg;-15;0;0;0;99.67;85.58897;0.0002947417;336.9431;-2.561021E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_176.jpg;-15;0;0;0;99.67;85.58897;0.0002960523;334.243;-3.530024E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_234.jpg;-15;0;0;0;99.67;85.58897;0.0002966635;331.543;-3.873013E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_303.jpg;-15;0;0;0;99.67;85.58897;0.0002974517;327.943;-4.54173E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_354.jpg;-15;0;0;0;99.67;85.58897;0.0002970129;326.143;-4.612157E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_410.jpg;-15;0;0;0;99.67;85.58897;0.0002970922;323.4429;-4.39065E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_468.jpg;-15;0;0;0;99.67;85.58897;0.0002965973;320.7429;-4.704601E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_519.jpg;-15;0;0;0;99.67;85.58897;0.000295303;318.9429;-4.774337E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_580.jpg;-12.07878;0;0;0;99.66999;85.58897;0.0002923409;316.5891;-6.480315E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_619.jpg;-10.42297;0;0;0;99.66999;85.58897;0.0002908749;315.2872;-8.190363E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_669.jpg;-7.605539;0;0;0;99.66999;85.58897;0.0002873877;313.7415;-1.373572E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_719.jpg;-5.91634;0;0;0;99.66999;85.58897;0.0002848477;312.978;-1.878024E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_771.jpg;-3.039907;0;0;0;99.66999;85.58897;0.0002812636;312.2483;-2.772178E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_835.jpg;-0.5377184;0;0;0;99.66999;85.58897;0.0002771461;311.9971;-3.590414E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_885.jpg;0;0.05811432;0;0;99.67015;85.58881;0.0056186;311.997;-4.530252E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_941.jpg;0;0;0.2279738;0.02873469;99.67034;85.58859;0.01258667;311.9969;-5.008708E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_35_999.jpg;0;0;0.3999955;0;99.67036;85.58857;0.01154461;311.997;-5.152949E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_056.jpg;0;0;0.570671;0;99.67037;85.58856;0.01035476;311.997;-5.35078E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_120.jpg;0;0;0.7209585;0;99.67038;85.58856;0.00905754;311.997;-5.439493E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_188.jpg;0;0;0.92128;0;99.67039;85.58855;0.007216418;311.997;-5.347966E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_254.jpg;0;0;1;0;99.67039;85.58855;0.005792837;311.997;-4.970605E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_305.jpg;0;0;1;0;99.6704;85.58855;0.004366141;311.997;-4.570857E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_361.jpg;0;0;1;0;99.6704;85.58854;0.003426374;311.997;-4.450951E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_418.jpg;2.56838;0;1;0;99.67041;85.58853;0.002053505;311.997;-4.591174E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_488.jpg;5.118185;0;1;0;99.67042;85.58852;0.0003300801;311.997;-5.256376E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_554.jpg;2.190465;0;1;0;99.67043;85.58852;-0.0008591702;311.997;-4.048205E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_621.jpg;0;0;1;0;99.67044;85.58851;-0.001941737;311.9969;-1.670815E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_672.jpg;0;0;1;0;99.67044;85.5885;-0.002903986;311.997;4.837807E-06
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_728.jpg;0;0;0;0;99.67043;85.5885;-0.00373605;311.997;2.425438E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_36_785.jpg;0;0;0;0;99.67042;85.58852;-0.00443152;311.997;4.245355E-05
